ID,Title,Channel_title,Country,Views,Duration(h),VivoY20s_Usage(mAh),Pocox3pro_Usage(mAh),Avg_Usage(mAh),Energy(J),Total_Energy(kJ)
1,Drama Spontan 31: Avengers versi Kelantan,Syahmi Sazli,MY,2463512,0.210833333,55,72,63.5,228.6,563159
2,"RUMAH AM KENA MASUK PER0MP4K !! - PRANK MARSYA , AIRA DAN TEAH  T4KUT !!",Ammar Nazhan,MY,2066020,0.158055556,48,66,57,205.2,423947
3,Luísa Sonza - Boa Menina,LuisaSonzaVEVO,BR,1585731,0.040833333,10,,10,36,57086
4,MASTERCHEF PROFISSIONAIS (30/10/2018) | PARTE 2 | EP 11 | TEMP 03,MasterChef Brasil,BR,764890,0.301944444,98,,98,352.8,269853
5,Jerry Smith - Vou Falar Pra Tu (Clipe Oficial),Jerry Smith,BR,426563,0.045277778,10,,10,36,15356
6,Dilsinho - Péssimo Negócio (Ao Vivo),DilsinhoVEVO,BR,92848,0.054444444,15,,15,54,5014
7,Mônica Toy | Esqueletoys (T06E32) 🎃 Especial Dia das Bruxas 2018,Turma da Mônica,BR,69653,0.010555556,3,,3,10.8,752
8,Priscilla Alcantara - Gente,PrisAlcantaraVEVO,BR,312876,0.016944444,5,,5,18,5632
9,Segurança confessa ter matado Rayane após oferecer carona,Balanço Geral,BR,75277,0.093611111,29,,29,104.4,7859
10,Pastor Silas Malafaia - Bolsonaro ao vivo na igreja que sou pastor,Silas Malafaia Oficial,BR,494522,0.247777778,77,,77,277.2,137081
11,FILA DE PIADAS - TRAIÇÃO - #108,4 AMIGOS STAND UP COMEDY,BR,287444,0.249722222,78,,78,280.8,80714
12,6 DIY DE SLIMES GIGANTES E PELOTAS ANTIESTRES,Troom Troom PT,BR,121408,0.174444444,52,,52,187.2,22728
13,Boulos chama BOLSONARO DE BANDIDO e passa VERGONHA pânico,Marcos Dicionário,BR,1307564,0.106111111,35,,35,126,164753
14,Novo governo é contra as minorias? Kim responde.,Kim Kataguiri,BR,206338,0.080555556,24,,24,86.4,17828
15,MUDANÇAS NO CANAL,Porta dos Fundos,BR,295407,0.019444444,6,,6,21.6,6381
16,Futuro Ministro da Defesa explica ameaças a Jair Bolsonaro,Jovem Pan News,BR,449180,0.128055556,38,,38,136.8,61448
17,Corrida das Blogueiras: React das inscrições - parte 1 | Diva Depressão,Diva Depressão,BR,178437,0.496944444,163,,163,586.8,104707
18,Lucas Lucco - Aham | DVD A Ørigem (Ao Vivo em Goiânia),Lucas Lucco,BR,209556,0.063055556,23,,23,82.8,17351
19,ESPECIAL DE TERROR III | PARAFERNALHA,Parafernalha,BR,359408,0.08,24,,24,86.4,31053
20,Segundo Sol QUARTA 31 de OUTUBRO Resumo completo da novela 31/10/2018,Tv News Curiosidades,BR,107172,0.633055556,147,,147,529.2,56715
21,Imagine Dragons - Machine (Audio),ImagineDragonsVEVO,BR,1075599,0.050555556,18,,18,64.8,69699
22,Como é feito o leite em pó #Boravê,Manual do Mundo,BR,744082,0.220833333,70,,70,252,187509
23,Gustavo Moura e Rafael - Zé Ninguém Feat Carol Castro,Gustavo Moura e Rafael,BR,45770,0.058888889,18,,18,64.8,2966
24,General Mourão fala sobre os primeiros passos da gestão de Jair Bolsonaro | SBT Notícias (30/10/18),SBT Jornalismo,BR,511205,0.117777778,40,,40,144,73614
25,Conversando Sobre Saúde Mental | Cresci e agora?,LubaTV,BR,125011,0.215277778,65,,65,234,29253
26,O DIA EM QUE EU ENTREI NA PUBERDADE,aNIMA Lima,BR,31528,0.048055556,13,,13,46.8,1476
27,O Amor me escolheu | Deive Leonardo | Batista Lagoinha - Culto Fé,Deive Leonardo,BR,51210,1.006666667,254,,254,914.4,46826
28,COISAS QUE ACONTECEM NO DIA DE FINADOS,Badin,BR,47756,0.062777778,21,,21,75.6,3610
29,DUVIDO Você assistir esses filmes SOZINHO! 😱👻 - Halloween,Pipocando,BR,233780,0.196111111,62,,62,223.2,52180
30,Nastya and papa pretend play with magic TV,Stacy Toys,BR,601071,0.071111111,23,,23,82.8,49769
31,Gaudêncio - GRANDES CAGAÇOS DA INTERNET,oCrisPereira,BR,51138,0.172777778,42,,42,151.2,7732
32,Caso Rayane: Polícia localiza principal suspeito de morte em Mogi das Cruzes,RedeTV,BR,83227,0.056388889,21,,21,75.6,6292
33,MC Pedrinho e Dakillah - Bailando (GR6 Filmes) part. DJ Kalfani,GR6 EXPLODE,BR,792211,0.064166667,25,,25,90,71299
34,KEFIR - Bebida MILAGROSA do PROFETA,Patricia Elias,BR,16463,0.268055556,67,,67,241.2,3971
35,"🔴 VIDA DE LULA CORRE RISCO,  DESESPERADA GLEISI HOFFMANN FAZ GRAVE DENUNCIA CONTRA BOLSONARO",Top Tube Famosos,BR,90991,0.185555556,41,,41,147.6,13430
36,"Protesto de Boulos como sempre, Badernas, Quebradeiras, Confusão, PM age",Universo,BR,85309,0.240277778,60,,60,216,18427
37,AS IRMÃS BRIGARAM FEIO!! - APAIXONADOS #7 [ REZENDE EVIL ],rezendeevil,BR,365299,0.206666667,50,,50,180,65754
38,Moro prendeu Lula para eleger Bolsonaro. Comentário de Solnik,TV 247,BR,28264,0.047777778,20,,20,72,2035
39,PEGADINHA DE HALLOWEEN - Halloween Prank | Rafael Chocolate,Rafael Chocolate,BR,89938,0.101111111,30,,30,108,9713
40,BK' - Novo Poder (Gigantes),BK',BR,60820,0.062777778,24,,24,86.4,5255
41,Não falo mais de POLÍTICA.,Nando Moura,BR,311342,0.223888889,54,,54,194.4,60525
42,{Tradução} The Zombie Song - Animatic,S&R,BR,41425,0.046666667,20,,20,72,2983
43,Froid part. Sampa - Lamentável parte II (prod. Froid),Froid,BR,100288,0.063888889,23,,23,82.8,8304
44,SEGUNDO SOL HOJE QUARTA 31 DE OUTUBRO CAPÃTULO 147 RESUMO COMPLETO 31/10/18,YouTudo Resumo de Novelas,BR,13537,0.009166667,2,,2,7.2,97
45,"ENQUETE GABI PRADO EVANDRO, QUEM FICA NA FAZENDA 10 2018,  QUEM SAI DA ROÇA, quem foi fazendeiro",Hot Notícias,BR,11136,0.038333333,17,,17,61.2,682
46,QUEM VAI SER O CAPITÃO DO TIME DE FUTEBOL?!,Vosso Canal,BR,171419,0.226944444,56,,56,201.6,34558
47,Moro e Bolsonaro - o segredo será revelado?,Filósofo Paulo Ghiraldelli,BR,20922,0.093055556,27,,27,97.2,2034
48,ADAI Music - Aguardo o Dia (Ao Vivo),Musile Records,BR,11828,0.099166667,30,,30,108,1277
49,"Governo Bolsonaro... Direita, Esquerda, Direita, Esquerda, Direita, Esquerda....",CRISTALVOX,BR,31388,1.299722222,298,,298,1072.8,33673
50,Discurso de Guilherme Boulos  para multidão no ato Vai Ter Resistência,Mídia NINJA,BR,90587,0.160277778,37,,37,133.2,12066
51,Os Pingos Nos Is - 30/10/18,Os Pingos nos Is,BR,320780,1.533888889,353,,353,1270.8,407647
52,União dos ministérios: bom ou ruim?,Morning Show,BR,42994,0.16,38,,38,136.8,5882
53,"Gucci Mane, Bruno Mars, Kodak Black - Wake Up in The Sky [Official Music Video]",OfficialGucciMane,BR,673533,0.0575,22,,22,79.2,53344
54,MEGARREVISÃO DE LINGUAGENS: TEMAS QUENTES | DESCOMPLICA,Descomplica,BR,35546,1.560277778,357,,357,1285.2,45684
55,HIPNOTIZEI UM PETISTA E ELE QUIS VOTAR BOLSONARO !,Pyong Lee,BR,44509,0.410555556,127,,127,457.2,20350
56,ASMR CLIMA PERFEITO PARA TE ARREPIAR,Gaúcha ASMR,BR,73851,0.402777778,126,,126,453.6,33499
57,Vingança - Luan Santana ft. MC Kekel | FitDance TV (Coreografia) Dance Video,FitDance,BR,60980,0.056944444,22,,22,79.2,4830
58,CLIPE DE LUISA SONZA RENDE ASSUNTO! FÃS ESPECULAM FIM DO NAMORO DE MAJU TRINDADE E MATEUS!,Já contei? por Ju Nogueira,BR,18635,0.033055556,17,,17,61.2,1140
59,Top 10 Frases de Efeito,Jovem Nerd,BR,127283,0.335277778,92,,92,331.2,42156
60,NÃO PODE RIR! com PAGODE DA OFENSA,Castro Brothers,BR,525201,0.378333333,100,,100,360,189072
61,Seu mané corre pra da uma notícia,Humoristas do Sertão ,BR,65109,0.076944444,23,,23,82.8,5391
62,Uma Mensagem para a tua Quarta Feira,Nathalia Leandro,BR,22778,0.476944444,124,,124,446.4,10168
63,PRATO PRONTO CONGELADO SADIA - Frango Assado e Frango com Molho de Tomate,Bom de Garfo,BR,20124,0.188055556,42,,42,151.2,3043
64,Enquete: Evandro “ARREGAÇA” Gabi Prado e votação já mostra rejeição histórica,Fique Esperto,BR,14009,0.049166667,20,,20,72,1009
65,10 Formas De Melhorar Sua VisaÌƒo Sem Usar OÌculos,INCRÃVEL,BR,29397,0.193611111,45,,45,162,4762
66,Delegado do caso Rayane fala com exclusividade ao Cidade Alerta,CidadeAlertaRecord,BR,121707,0.086388889,24,,24,86.4,10515
67,Kyabe Visita Caulifla | Dragon Ball Super Dublado,dbsvideos Br,BR,48761,0.019444444,4,,4,14.4,702
68,Quem é Marcos Pontes? O Ministro de Ciência e Tecnologia de Bolsonaro.,Jair Bolsonaro,BR,78820,0.051388889,20,,20,72,5675
69,As Aventuras de Poliana | Conselho tutelar aparece para levar João,As Aventuras de Poliana,BR,137340,0.033611111,18,,18,64.8,8900
70,ARTHUR MITOU E O JULIO COCIELO MORREU! - ESCOLINHA DO COACH #2,Banheiristas,BR,319533,0.146111111,36,,36,129.6,41411
71,Peppa Pig no Halloween [Pintando Desenhos],Pintando Desenhos,BR,44628,0.131666667,34,,34,122.4,5462
72,Rahatlatıcı Slime Videoları #273,RahatlatÄ±cÄ± Videolar,BR,297493,0.169444444,41,,41,147.6,43910
73,31Out2018 - Incendiando meu Altar em Israel | A Palavra do Dia,Virginia Arruda,BR,76058,0.186111111,44,,44,158.4,12048
74,Sua Vaca - Marcelo Parafuso Solto,Marcelo Parafuso Solto,BR,21980,0.033055556,17,,17,61.2,1345
75,ELE SIM ELE NÃO,Na CorreRia,BR,270982,0.024444444,6,,6,21.6,5853
76,Lembra da protagonista do filme Matilda? Veja como ela está hoje,Mata Curiosidade,BR,53982,0.049444444,20,,20,72,3887
77,MIXING MAKEUP AND CLAY INTO SLIME!!! RELAXING SLIME WITH BALLOONS,Hong Giang DIY Slime,BR,98553,0.206666667,50,,50,180,17740
78,Como entrar pela porta estreita? (Homilia Diária.992: Quarta-feira da 30.ª Semana do Tempo Comum),Padre Paulo Ricardo,BR,29829,0.092777778,27,,27,97.2,2899
79,Resistência e Ninguém solta a mão de ninguém!,LUIZ CAMARGO vlog,BR,91334,0.040833333,19,,19,68.4,6247
80,HISTÓRIAS BIZARRAS DA MINHA VOVOZINHA!!! 5,Leo Augusto,BR,26621,0.054166667,20,,20,72,1917
81,Lula indica Haddad para liderar resistência ao fascismo,Blog da Cidadania,BR,55424,0.112777778,27,,27,97.2,5387
82,TWICE YES or YES TEASER E,jypentertainment,BR,2455037,0.005,2,,2,7.2,17676
83,Enquete já aponta Quem será eliminado com rejeição entre Gabi Prado e Evandro Santo em A Fazenda 10,ÁGUIA NEWS,BR,11707,0.019444444,5,,5,18,211
84,UM CACHORRO HERÓI SALVA UM BEBÊ SE AFOGANDO. 10 VEZES QUE OS ANIMAIS SALVARAM AS PESSOAS,#Refúgio Mental,BR,82241,0.191944444,45,,45,162,13323
85,"URGENTE: Luciano Hang, da Havan, anuncia R$500 milhões em investimentos após vitória de Bolsonaro",Folha Política,BR,275068,0.627222222,143,,143,514.8,141605
86,O sucesso do governo Bolsonaro só depende de uma coisa | por Kim Kataguiri,MBL - Movimento Brasil Livre,BR,345822,0.197777778,48,,48,172.8,59758
87,Palavra de Hoje dia 31 de Outubro de 2018 Salmo 91,Jesus me defenda,BR,36378,0.187777778,43,,43,154.8,5631
88,A ORAÇÃO DO MILAGRE,Orações de Fé,BR,11592,0.064166667,21,,21,75.6,876
89,"🔴Prova do Fazendeiro: NADJA CHORA E GEME MUITO; CHULAPA ARREGA | Comentando ""A FAZENDA 10""",WebTVBrasileira,BR,107695,0.795277778,188,,188,676.8,72888
90,Faça Alguém Dizer Quero Você de Volta,Alexander Voger,BR,54533,0.109166667,27,,27,97.2,5301
91,Kelly Clarkson's Wowed by Abby Cates' Confident Cover of Because of You - The Voice 2018 Knockouts,The Voice,BR,550553,0.034166667,18,,18,64.8,35676
92,PROVEI A COMIDA DA ELITE DO EXÉRCITO AMERICANO ( MUITO GOSTOSA )!!,Área Secreta,BR,228233,0.35,116,,116,417.6,95310
93,Wild Zoo Animal Toys | Learn Animal Names and Learn Colors For Kids,SuperFunReviews ,BR,333962,0.133611111,34,,34,122.4,40877
94,Ninguém Explica Deus (Preto no Branco) [Kennto Remix] (Lyric Video),PretoNoBrancoVEVO,BR,13856,0.049444444,20,,20,72,998
95,Pocoyo Halloween 🔴  LIVE STREAMING | Episódios completos em Português,Pocoyo - Português,BR,92975,0.490555556,128,,128,460.8,42843
96,Gestação pedagógica,Diogo Almeida humorista,BR,25135,0.076944444,25,,25,90,2262
97,Top Sertanejo 2018 Mais Tocadas - As Melhores do Sertanejo Universitário 2018 (Lançamentos),Só Sertanejo,BR,104866,0.950833333,233,,233,838.8,87962
98,Chulapa nega envolvimento com Perlla em A Fazenda 10,Programa do Porchat,BR,15895,0.051666667,23,,23,82.8,1316
99,"Pabllo Vittar não foi embora do Brasil, veja o que disse Donald Trump sobre Bolsonaro",Treta Dos Famosos,BR,1051473,0.028888889,15,,15,54,56780
100,"Ana Paula Renault, Fefito e Priscila de Sá - Pânico - 30/10/18",Pânico Jovem Pan,BR,138473,1.605,364,,364,1310.4,181455
101,FIZ A MAIOR CLOUD SLIME DO MEU CANAL | TIO LUCAS,Tio Lucas,BR,122858,0.235555556,57,,57,205.2,25210
102,Amanhã Hoje | Ben 10 em Português Brasil | Cartoon Network,Ben 10 Brasil,BR,76117,0.076944444,23,,23,82.8,6302
103,BOLSONARO PRESIDENTE,Davy Jones,BR,556577,0.179444444,42,,42,151.2,84154
104,BOLSONARO CONCEDE PRIMEIRA ENTREVISTA A RECORD TV COMO PRESIDENTE DO BRASIL,Record TV Cabo Verde,BR,53065,0.554166667,151,,151,543.6,28846
105,Horóscopo do dia - 31 de Outubro de 2018: Previsões para todos os signos Lua Minguante em LEÃO,Império do Tarot com Cinthia Bernardes,BR,19677,0.409444444,138,,138,496.8,9776
106,Apresentamos o novo iPad Pro — Apple,Apple Brasil,BR,49726,0.025833333,10,,10,36,1790
107,4 crianças médiuns que LEMBRAM de suas VIDAS PASSADAS,Fatos Desconhecidos,BR,63059,0.088055556,26,,26,93.6,5902
108,Partidos da esquerda se afastam do PT,Jovem Pan - 3 em 1,BR,161087,0.111388889,28,,28,100.8,16238
109,UMA HISTÓRIA COM O ABOBRINHA,EMI,BR,52850,0.052222222,19,,19,68.4,3615
110,BFF Girls - Girls Just Wanna Have Fun (Pseudo Video),BFFGirlsVEVO,BR,45361,0.046666667,18,,18,64.8,2939
111,SOS ProEnem | Revolução Francesa e Guerra Fria | História | Prof. Otto Barreto,ProEnem - Enem 2018,BR,17432,1.501666667,344,,344,1238.4,21588
112,COM DEUS NINGUÉM BRINCA 10,CANAL INTERESSANTE,BR,99952,0.276666667,69,,69,248.4,24828
113,18 IDEIAS ASSUSTADORAS DE HALLOWEEN QUE VOCÊ PODE DIY EM POUCO TEMPO,IDEIAS INCRÍVEIS,BR,31798,0.202222222,49,,49,176.4,5609
114,James Corden & Ariana Grande Visit an Escape Room,The Late Late Show with James Corden,BR,896693,0.090833333,27,,27,97.2,87159
115,5 Lendas  Urbanas Mais ASSUSTADORAS do Japão!  😱👹,Bunka Pop,BR,53804,0.207222222,50,,50,180,9685
116,Jornal da BandNews FM - 31/10/2018,Rádio BandNews FM,BR,29933,1.838611111,427,,427,1537.2,46013
117,♫ 5x1 - REAL MADRID É ATROPELADO PELO BARÇA | Paródia Moleque - Pacheco e Marília Mendonça,FutParódias,BR,1130961,0.043333333,19,,19,68.4,77358
118,Halsey - Without Me,HalseyVEVO,CA,4467893,0.065833333,22,,22,79.2,353857
119,Tyga - Dip (Official Video) ft. Nicki Minaj,TygaVEVO,CA,5318708,0.055555556,21,,21,75.6,402094
120,Worst Halloween Candy Taste Test (Day 2),Good Mythical Morning,CA,2037463,0.2375,63,,63,226.8,462097
121,IZ*ONE (아이즈원) - 라비앙로즈 (La Vie en Rose) MV,Stone Music Entertainment,CA,7777735,0.066388889,21,,21,75.6,587997
122,GLOOM TRIES CUPPING FOR THE FIRST TIME,Gloom,CA,351785,0.184722222,43,,43,154.8,54456
123,Embarrassing Halloween Costumes,Good Mythical MORE,CA,183599,0.158888889,38,,38,136.8,25116
124,And you think YOUR family is dysfunctional | Wayne,Wayne,CA,148120,0.014722222,3,,3,10.8,1600
125,Kelly Clarkson's Wowed by Abby Cates' Confident Cover of Because of You - The Voice 2018 Knockouts,The Voice,CA,550553,0.034166667,18,,18,64.8,35676
126,Introducing the new iPad Pro — Apple,Apple Canada,CA,113775,0.025833333,6,,6,21.6,2458
127,Rami Malek Discusses His Freddie Mercury Transformation,The Tonight Show Starring Jimmy Fallon,CA,944542,0.127222222,31,,31,111.6,105411
128,Introducing the new MacBook Air — Apple,Apple,CA,2755746,0.041388889,15,,15,54,148810
129,Who Owns The Statue of Liberty?  (New Jersey vs New York),CGP Grey,CA,1003601,0.124722222,33,,33,118.8,119228
130,2019 iPad Pro Impressions: Incredibly Thin!,Marques Brownlee,CA,2252418,0.110277778,29,,29,104.4,235152
131,TWICE YES or YES TEASER E,jypentertainment,CA,2455037,0.005,1,,1,3.6,8838
132,Keira Knightley & Mackenzie Foy Answer the Web's Most Searched Questions | WIRED,WIRED,CA,193411,0.116388889,28,,28,100.8,19496
133,BRUNCH at 7-ELEVEN in Seoul South Korea,Strictly Dumpling,CA,1721052,0.259722222,75,,75,270,464684
134,Funny Musical Waiter | Rudy Mancuso,Rudy Mancuso,CA,687596,0.08,24,,24,86.4,59408
135,TIME TO SHOOT THE TEAM 10 MOVIE!,Jake Paul,CA,2472525,0.233611111,55,,55,198,489560
136,How Asians Celebrate Halloween,Wong Fu Productions,CA,162375,0.084166667,25,,25,90,14614
137,Honest Trailers - Batman: The Animated Series,Screen Junkies,CA,1078411,0.120833333,31,,31,111.6,120351
138,Carla and Ina Garten Make Chocolate-Pecan Scones | From the Test Kitchen | Bon AppÃ©tit,Bon AppÃ©tit,CA,291699,0.243611111,57,,57,205.2,59857
139,Girl Talk As You Grow Up,IISuperwomanII,CA,1392220,0.058888889,21,,21,75.6,105252
140,Little Mix Sing Woman Like Me | Live Shows Week 2 | The X Factor UK 2018,The X Factor UK,CA,2305989,0.071111111,25,,25,90,207539
141,Our Alligator Gets a New Toy!,Snake Discovery,CA,188530,0.148055556,34,,34,122.4,23076
142,The Demon Priest of Mission Solano,BuzzFeed Unsolved Network,CA,1446507,0.405555556,128,,128,460.8,666550
143,Pearce and Price lead Red Sox to World Series victory: 10/28/18,MLB,CA,553954,0.109444444,29,,29,104.4,57833
144,Little Things That Ruin Your Day | Life Hacks by Blossom,Blossom,CA,5106177,0.106944444,27,,27,97.2,496320
145,Kris Jenner Answers 'Ellen’s Burning Questions',TheEllenShow,CA,1363534,0.060833333,23,,23,82.8,112901
146,RWBY Volume 6 Intro | Rooster Teeth,Rooster Teeth,CA,1335685,0.031944444,14,,14,50.4,67319
147,These Halloween desserts put the Ooh! in ooky spooky! |  Halloween 2018 | So Yummy,So Yummy,CA,4225566,0.109444444,27,,27,97.2,410725
148,Monster / Monster (Reborn) - Official Music Video - Gabbie Hanna,Gabbie Hanna,CA,2186881,0.0875,25,,25,90,196819
149,Evolution Of Michael Myers 1978-2018 (Animated),Tell It Animated,CA,1469816,0.058333333,24,,24,86.4,126992
150,Secret Geniuses  - The Office US,The Office US,CA,870532,0.167777778,41,,41,147.6,128491
151,The ULTIMATE Lemon Meringue Tart Battle!,SORTEDfood,CA,202029,0.301388889,87,,87,313.2,63275
152,We Tried To Make Pizzas With Zero Waste,Tasty,CA,1700772,0.168333333,42,,42,151.2,257157
153,Browns vs. Steelers Week 8 Highlights | NFL 2018,NFL,CA,1049061,0.193333333,46,,46,165.6,173725
154,Gordon Ramsay Helps Matilda Cook A Giant Burger,Gordon Ramsay,CA,2264307,0.050833333,20,,20,72,163030
155,"Gerard Butler Spent Seven Years Studying, Practicing Law",The Late Show with Stephen Colbert,CA,1117748,0.154444444,36,,36,129.6,144860
156,Bohemian Rhapsody | Final Trailer [HD] | 20th Century FOX,20th Century Fox,CA,6040868,0.036944444,13,,13,46.8,282713
157,"VOX LUX Official Trailer (2018) Natalie Portman, Jude Law Movie HD",ONE Media,CA,1706265,0.016388889,4,,4,14.4,24570
158,HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD | Official Trailer 2,DreamWorksTV,CA,5695375,0.045277778,16,,16,57.6,328054
159,CIARA - DOSE  [Official Video],Ciara,CA,1908429,0.068888889,24,,24,86.4,164888
160,"But First, Tan ft. Hasan Minhaj | Patriot Act | Netflix",Netflix,CA,504948,0.165277778,40,,40,144,72713
161,15 Weird Ways To Sneak Candies Into Class / Back To School Pranks,Troom Troom,CA,6346616,0.180555556,45,,45,162,1028152
162,Battle to Throw First Pitch at the World Series vs. Guava Juice!!,Team Edge,CA,1677577,0.190555556,47,,47,169.2,283846
163,Here's Why Everyone Hates the Mercedes-AMG GLE63 Coupe,Doug DeMuro,CA,1590587,0.3325,98,,98,352.8,561159
